Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_AdjClose,UAL_Volume,SAVE_Open,SAVE_High,SAVE_Low,SAVE_Close,SAVE_AdjClose,SAVE_Volume,AAL_Open,AAL_High,AAL_Low,AAL_Close,AAL_AdjClose,AAL_Volume,DAL_Open,DAL_High,DAL_Low,DAL_Close,DAL_AdjClose,DAL_Volume,LUV_Open,LUV_High,LUV_Low,LUV_Close,LUV_AdjClose,LUV_Volume,JBLU_Open,JBLU_High,JBLU_Low,JBLU_Close,JBLU_AdjClose,JBLU_Volume,UALSocialMedia,SAVESoicalMedia,AALSocialMedia,DALSocialMedia,LUVSocialMedia,JBLUSocialMedia
12/14/15,57.369999,59.650002,55.330002,56.919998,56.919998,22573000,42.590000,44.259998,40.029999,40.410000,40.410000,12518700,42.259998,43.950001,40.700001,41.090000,39.267483,50733700,49.520000,52.770000,48.759998,49.959999,45.407875,53042500,43.650002,45.220001,42.660000,42.740002,40.859745,30289500,23.790001,23.799999,22.500000,22.559999,22.559999,33899900,14,5,19,15,21,8
12/21/15,57.419998,60.439999,56.650002,59.779999,59.779999,13621500,40.930000,43.860001,40.540001,43.330002,43.330002,5550200,41.349998,44.189999,41.349998,43.810001,41.866833,21702800,50.459999,52.650002,50.419998,52.259998,47.498299,25245500,43.240002,44.439999,42.919998,43.900002,41.968716,15493300,22.740000,23.559999,22.670000,23.330000,23.330000,15899600,15,6,22,16,24,8
12/28/15,59.790001,60.200001,56.720001,57.299999,57.299999,11537700,43.330002,43.599998,39.299999,39.849998,39.849998,4523400,43.619999,44.040001,41.830002,42.349998,40.471588,20432300,52.410000,52.720001,50.349998,50.689999,46.071354,20566800,43.930000,44.419998,42.750000,43.060001,41.165661,11422600,23.299999,23.559999,22.549999,22.650000,22.650000,15906100,18,6,26,17,28,9
1/4/16,55.790001,56.340000,51.759998,51.889999,51.889999,30039400,38.919998,43.389999,38.439999,38.540001,38.540001,11961800,41.290001,41.700001,39.680000,40.369999,38.579407,55111200,49.419998,49.750000,46.490002,46.610001,42.363102,59407700,41.700001,43.500000,41.180000,42.209999,40.353062,37522000,22.040001,22.139999,20.200001,20.280001,20.280001,38834300,15,6,22,16,27,11
1/11/16,52.200001,52.549999,44.930000,45.669998,45.669998,47275300,38.580002,39.919998,35.169998,38.580002,38.580002,10868100,40.560001,42.740002,38.369999,38.759998,37.040825,71913400,46.990002,47.500000,43.450001,44.500000,40.445370,63187900,42.299999,42.980000,38.840000,39.770000,38.020405,34634100,20.360001,21.070000,19.469999,20.690001,20.690001,39238500,13,6,20,14,25,10
1/18/16,46.509998,47.730000,42.169998,46.720001,46.720001,38951700,39.000000,45.619999,37.500000,43.400002,43.400002,15050400,39.590000,40.720001,36.200001,40.160000,38.378731,43623700,45.799999,47.490002,42.540001,46.759998,42.499435,60179100,40.669998,41.500000,37.139999,39.000000,37.284279,38735700,21.000000,21.580000,19.430000,21.510000,21.510000,34508600,15,6,23,17,27,10
1/25/16,46.910000,49.410000,45.270000,48.279999,48.279999,36135600,43.419998,43.500000,38.419998,41.799999,41.799999,7404300,40.020000,40.869999,36.599998,38.990002,37.260632,66468000,47.590000,47.619999,42.419998,44.290001,40.254494,54774400,39.349998,39.380001,35.509998,37.619999,35.964996,43150100,21.660000,21.969999,19.600000,21.309999,21.309999,46731600,13,6,21,15,24,9
2/1/16,47.709999,49.200001,45.049999,46.860001,46.860001,31200200,41.669998,45.950001,40.450001,42.430000,42.430000,9234600,39.000000,39.939999,35.759998,36.750000,35.119984,55487700,44.730000,45.580002,41.669998,42.009998,38.182236,51311300,37.619999,38.590000,35.509998,35.689999,34.119892,36217300,20.940001,22.490000,19.549999,19.700001,19.700001,41736100,13,6,19,15,23,9
2/8/16,45.900002,48.799999,44.000000,48.349998,48.349998,33848900,41.919998,44.980000,38.459999,44.430000,44.430000,11793600,36.080002,37.980000,34.759998,37.820000,36.142506,49588100,41.310001,43.779999,40.029999,42.990002,39.072952,56461900,35.130001,36.250000,33.959999,36.240002,34.645702,36373800,19.260000,21.260000,18.510000,21.250000,21.250000,40951200,12,6,19,15,24,9
2/15/16,48.720001,55.060001,47.799999,53.820000,53.820000,24116300,45.000000,48.590000,44.450001,46.869999,46.869999,6340500,38.130001,40.070000,37.529999,39.759998,38.100147,36238200,43.490002,47.150002,43.090000,46.720001,42.597767,39992700,36.599998,39.459999,36.340000,39.310001,37.580643,26710100,21.590000,21.750000,20.959999,21.360001,21.360001,23303500,13,6,21,16,25,9
